Date,Open,High,Low,Close,Adj Close,Volume
2013-07-03,7664.2001953125,7774.89990234375,7598.1201171875,7655.77978515625,7655.77978515625,0
2013-07-04,7657.02978515625,7793.18017578125,7657.02978515625,7725.89990234375,7725.89990234375,0
2013-07-05,7717.93994140625,7717.93994140625,7457.5,7607.740234375,7607.740234375,0
2013-07-08,7608.39990234375,7682.27001953125,7549.14013671875,7583.35009765625,7583.35009765625,0
2013-07-10,7608.39990234375,7725.2099609375,7585.5400390625,7645.93994140625,7645.93994140625,0
2013-07-11,7648.06982421875,7854.64990234375,7648.06982421875,7854.64990234375,7854.64990234375,0
2013-07-12,7854.22021484375,7854.22021484375,7737.740234375,7748.64990234375,7748.64990234375,0
2013-07-15,7748.64990234375,7888.47998046875,7748.64990234375,7870.169921875,7870.169921875,0
2013-07-16,7873.9599609375,7946.240234375,7831.25,7913.06005859375,7913.06005859375,0
2013-07-17,7919.18017578125,8023.509765625,7919.18017578125,7979.06982421875,7979.06982421875,0
2013-07-18,7979.22998046875,8051.6201171875,7935.89990234375,7992.77001953125,7992.77001953125,0
2013-07-19,7991.47021484375,7991.47021484375,7903.3701171875,7929.91015625,7929.91015625,0
2013-07-22,7932.5400390625,8141.14990234375,7932.5400390625,8093.10009765625,8093.10009765625,0
2013-07-23,8095.14990234375,8202.349609375,8095.14990234375,8151.1201171875,8151.1201171875,0
2013-07-24,8150.27978515625,8163.0498046875,8024.85009765625,8095.14013671875,8095.14013671875,0
2013-07-25,8094.66015625,8172.4599609375,8041.72998046875,8165.7998046875,8165.7998046875,0
2013-07-26,8165.83984375,8187.16015625,8061.8701171875,8178.2900390625,8178.2900390625,0
2013-07-29,8178.0498046875,8186.9599609375,8101.06982421875,8131.259765625,8131.259765625,0
2013-07-30,8131.7900390625,8208.7197265625,8065.93994140625,8066.08984375,8066.08984375,0
2013-07-31,8065.66015625,8125.580078125,8030.68017578125,8056.75,8056.75,0
2013-08-01,8063.27001953125,8255.9296875,8063.27001953125,8230.6904296875,8230.6904296875,0
2013-08-02,8230.6904296875,8291.08984375,8158.68994140625,8172.56005859375,8172.56005859375,0
2013-08-05,8172.7900390625,8183.33984375,8100.919921875,8125.0498046875,8125.0498046875,0
2013-08-06,8126.81982421875,8126.81982421875,7941.169921875,7970.669921875,7970.669921875,0
2013-08-07,7968.009765625,8010.8701171875,7924.85986328125,7982.5498046875,7982.5498046875,0
2013-08-08,7984.89013671875,8208.0400390625,7981.9501953125,8176.18017578125,8176.18017578125,0
2013-08-09,8180.10009765625,8318.7998046875,8162.58984375,8289.099609375,8289.099609375,0
2013-08-12,8290.26953125,8488.4697265625,8290.26953125,8329.490234375,8329.490234375,0
2013-08-13,8329.009765625,8401.919921875,8302.9296875,8384.1201171875,8384.1201171875,0
2013-08-14,8383.3798828125,8469.73046875,8356.169921875,8400.8095703125,8400.8095703125,0
2013-08-15,8399.650390625,8506.75,8287.0400390625,8432.83984375,8432.83984375,0
2013-08-16,8432.1396484375,8484.8603515625,8369.2900390625,8478.0595703125,8478.0595703125,0
2013-08-19,8478.1103515625,8520.990234375,8384.1396484375,8451.51953125,8451.51953125,0
2013-08-20,8450.1201171875,8450.1201171875,8272.26953125,8277.23046875,8277.23046875,0
2013-08-21,8275.9296875,8377.7001953125,8200.7900390625,8262.2099609375,8262.2099609375,0
2013-08-22,8262.2099609375,8435.66015625,8262.2099609375,8404.5595703125,8404.5595703125,0
2013-08-23,8405.16015625,8504.0302734375,8377.009765625,8503.2197265625,8503.2197265625,0
2013-08-26,8502.3203125,8521.76953125,8395.4404296875,8395.4404296875,8395.4404296875,0
2013-08-27,8393.8798828125,8393.8798828125,8191.1298828125,8205.48046875,8205.48046875,0
2013-08-28,8205.8798828125,8248.669921875,8116.89990234375,8167.56982421875,8167.56982421875,0
2013-08-29,8167.56982421875,8297.7001953125,8167.56982421875,8201.240234375,8201.240234375,0
2013-08-30,8202.3603515625,8275.9501953125,8159.18017578125,8273.1103515625,8273.1103515625,0
2013-09-02,8273.9697265625,8479.4296875,8273.9697265625,8406.169921875,8406.169921875,0
2013-09-03,8406.6298828125,8441.759765625,8292.6298828125,8307.6904296875,8307.6904296875,0
